No,Attributes
396,+1:word.lower():v180
397,word.lower():v180
398,word[-3:]:180
399,word[-2:]:80
400,word[:3]:V18
401,word[:2]:V1
402,-1:word.lower():hc
403,word.lower():kodoto
404,word[-3:]:OTO
405,word[-2:]:TO
406,word[:3]:KOD
407,word[:2]:KO
408,+1:word.lower():21#
409,word.lower():21#
410,word[-3:]:21#
411,word[-2:]:1#
412,word[:3]:21#
413,word[:2]:21
414,-1:word.lower():kodoto
415,+1:word.lower():pirlo
416,+1:postag:FW
417,+1:postag[:2]:FW
418,word.lower():pirlo
419,word[-3:]:RLO
420,word[-2:]:LO
421,word[:3]:PIR
422,word[:2]:PI
423,postag:FW
424,postag[:2]:FW
425,-1:word.lower():21#
426,+1:word.lower():(ju)
427,word.lower():(ju)
428,word[-3:]:JU)
429,word[-2:]:U)
430,word[:3]:(JU
431,word[:2]:(J
432,-1:word.lower():pirlo
433,-1:postag:FW
434,-1:postag[:2]:FW
435,+1:word.lower():action
436,word.lower():action
437,word[-3:]:ion
438,word[:3]:Act
439,word[:2]:Ac
440,-1:word.lower():(ju)
441,+1:word.lower():figure
442,word.lower():figure
443,word[-3:]:ure
444,word[-2:]:re
445,word[:3]:Fig
446,word[:2]:Fi
447,-1:word.lower():action
448,word.lower():lensa
449,word[-3:]:nsa
450,word[-2:]:sa
451,word[:3]:Len
452,word[:2]:Le
453,+1:word.lower():canon
454,-1:word.lower():lensa
455,word.lower():pigeon
456,word[-3:]:eon
457,word[:3]:Pig
458,+1:word.lower():nose
459,word.lower():nose
460,word[-3:]:ose
461,word[-2:]:se
462,word[:3]:Nos
463,word[:2]:No
464,-1:word.lower():pigeon
465,+1:word.lower():cleaner
466,word.lower():cleaner
467,word[-3:]:ner
468,word[:3]:Cle
469,word[:2]:Cl
470,-1:word.lower():nose
471,+1:word.lower():tube
472,word.lower():tube
473,word[-3:]:ube
474,word[-2:]:be
475,word[:3]:Tub
476,word[:2]:Tu
477,-1:word.lower():cleaner
478,+1:word.lower():type
479,word.lower():type
480,word[-3:]:ype
481,word[-2:]:pe
482,word[:3]:Typ
483,word[:2]:Ty
484,-1:word.lower():tube
485,word.lower():dji
486,word[-3:]:DJI
487,word[-2:]:JI
488,word[:3]:DJI
489,word[:2]:DJ
490,+1:word.lower():drone
491,word.lower():drone
492,word[-3:]:ONE
493,word[-2:]:NE
494,word[:3]:DRO
495,word[:2]:DR
496,-1:word.lower():dji
497,+1:word.lower():mavic
498,word.lower():mavic
499,word[-3:]:VIC
500,word[:3]:MAV
501,word[:2]:MA
502,-1:word.lower():drone
503,+1:word.lower():pro
504,word.lower():pro
505,word[-3:]:PRO
506,word[-2:]:RO
507,word[:3]:PRO
508,-1:word.lower():mavic
509,+1:word.lower():-
510,word.lower():-
511,word[-3:]:-
512,word[-2:]:-
513,word[:3]:-
514,word[:2]:-
515,-1:word.lower():pro
516,+1:word.lower():standard
517,word.lower():standard
518,word[-3:]:ARD
519,word[-2:]:RD
520,word[:3]:STA
521,word[:2]:ST
522,-1:word.lower():-
523,+1:word.lower():(4k
524,word.lower():(4k
525,word[-3:]:(4K
526,word[-2:]:4K
527,word[:3]:(4K
528,word[:2]:(4
529,-1:word.lower():standard
530,+1:word.lower():ultra
531,word.lower():ultra
532,word[-3:]:TRA
533,word[-2:]:RA
534,word[:3]:ULT
535,word[:2]:UL
536,-1:word.lower():(4k
537,+1:word.lower():hd
538,word.lower():hd
539,word[-3:]:HD
540,word[-2:]:HD
541,word[:3]:HD
542,word[:2]:HD
543,-1:word.lower():ultra
544,+1:word.lower():video)
545,word.lower():video)
546,word[-3:]:EO)
547,word[-2:]:O)
548,word[:3]:VID
549,word[:2]:VI
550,-1:word.lower():hd
551,word.lower():tas
552,word[-3:]:Tas
553,word[:3]:Tas
554,+1:word.lower():trolley
555,word.lower():trolley
556,word[-3:]:ley
557,word[-2:]:ey
558,word[:3]:Tro
559,word[:2]:Tr
560,-1:word.lower():tas
561,+1:word.lower():koper
562,word.lower():koper
563,word[-3:]:per
564,word[:3]:Kop
565,word[:2]:Ko
566,-1:word.lower():trolley
567,+1:word.lower():set
568,word.lower():set
569,word[-3:]:set
570,word[:3]:set
571,word[:2]:se
572,-1:word.lower():koper
573,+1:word.lower():frozen
574,word.lower():frozen
575,word[-3:]:zen
576,word[-2:]:en
577,word[:3]:Fro
578,word[:2]:Fr
579,-1:word.lower():set
580,+1:word.lower():kids
581,word.lower():kids
582,word[-3:]:ids
583,word[-2:]:ds
584,word[:3]:Kid
585,-1:word.lower():frozen
586,word.lower():diskon
587,word[-3:]:KON
588,word[-2:]:ON
589,word[:3]:DIS
590,word[:2]:DI
591,+1:word.lower():duncan
592,word.lower():duncan
593,word[-3:]:can
594,word[-2:]:an
595,word[:3]:Dun
596,word[:2]:Du
597,-1:word.lower():diskon
598,+1:word.lower():hines
599,word.lower():hines
600,word[-3:]:nes
601,word[-2:]:es
602,word[:3]:Hin
603,-1:word.lower():duncan
604,+1:word.lower():creamy
605,word.lower():creamy
606,word[-3:]:amy
607,word[-2:]:my
608,word[:3]:Cre
609,word[:2]:Cr
610,-1:word.lower():hines
611,+1:word.lower():homestyle
612,word.lower():homestyle
613,word[-3:]:yle
614,word[:3]:Hom
615,-1:word.lower():creamy
616,word.lower():harga
617,word[-3:]:RGA
618,word[-2:]:GA
619,word[:3]:HAR
620,word[:2]:HA
621,+1:word.lower():promo
622,word.lower():promo
623,word[-3:]:OMO
624,word[-2:]:MO
625,-1:word.lower():harga
626,+1:word.lower():aruchi
627,word.lower():aruchi
628,word[-3:]:CHI
629,word[-2:]:HI
630,word[:3]:ARU
631,word[:2]:AR
632,-1:word.lower():promo
633,+1:word.lower():baby
634,word.lower():baby
635,word[-3:]:ABY
636,word[-2:]:BY
637,word[:3]:BAB
638,word[:2]:BA
639,-1:word.lower():aruchi
640,+1:word.lower():setelan
641,word.lower():setelan
642,word[-3:]:LAN
643,word[-2:]:AN
644,word[:3]:SET
645,word[:2]:SE
646,-1:word.lower():baby
647,+1:word.lower():piyama
648,word.lower():piyama
649,word[-3:]:AMA
650,word[-2:]:MA
651,word[:3]:PIY
652,-1:word.lower():setelan
653,+1:word.lower():bayi
654,word.lower():bayi
655,word[-3:]:AYI
656,word[-2:]:YI
657,word[:3]:BAY
658,-1:word.lower():piyama
659,+1:word.lower():oblong
660,word.lower():oblong
661,word[-3:]:ONG
662,word[-2:]:NG
663,word[:3]:OBL
664,word[:2]:OB
665,-1:word.lower():bayi
666,+1:word.lower():panjang
667,word.lower():panjang
668,word[-3:]:ANG
669,word[:3]:PAN
670,word[:2]:PA
671,-1:word.lower():oblong
672,+1:word.lower():xxl
673,word.lower():xxl
674,word[-3:]:XXL
675,word[-2:]:XL
676,word[:3]:XXL
677,word[:2]:XX
