,target,feature,weight
235,O,word[:3]:Rid,0.527752
236,O,word.lower():ride,0.527752
237,O,word[:3]:Dur,0.525703
238,O,word[-3:]:gan,0.52404
239,O,word[:3]:new,0.52386
240,O,-1:word.lower():garansi,0.522959
241,O,-1:word.lower():plated,0.522175
242,O,word[:3]:BES,0.519612
243,O,word.lower():kantong,0.519201
244,O,word[:3]:ROM,0.519045
245,O,word.lower():rom,0.519045
246,O,word[-3:]:oom,0.518423
247,O,-1:word.lower():hub,0.517717
248,O,word[:3]:Teb,0.516383
249,O,word.lower():tebal,0.516383
250,O,word[:3]:STO,0.514328
251,O,word[-3:]:att,0.514004
252,O,word[-3:]:rip,0.511456
253,O,word[:3]:GTX,0.51125
254,O,-1:word.lower():analog,0.51035
255,O,word[:3]:Lit,0.509227
256,O,word[:3]:war,0.50913
257,O,word[:3]:Gun,0.508154
258,O,-1:word.lower():gold,0.508085
259,O,word[:3]:Sma,0.508083
260,O,-1:word.lower():shoes,0.507927
261,O,-1:word.lower():ultima,0.50707
262,O,-1:word.lower():rack,0.506739
263,O,word.lower():elegan,0.506245
264,O,word.lower():genuine,0.506124
265,O,word[:3]:Ala,0.505852
266,O,word.lower():tali,0.505351
267,O,word.lower():2pcs,0.505327
268,O,word.lower():polos,0.504394
269,O,word[:3]:Dis,0.503389
270,O,word[-3:]:ity,0.502022
271,O,word[:3]:mul,0.501524
272,O,-1:word.lower():sticker,0.501327
273,O,word.lower():dial,0.500333
274,O,word[:3]:spo,0.498603
275,O,word[:3]:RES,0.498241
276,O,word.lower():seller,0.497939
277,O,+1:word.lower():ungu,0.497547
278,O,word[:3]:Sto,0.49587
279,O,word.lower():batik,0.495701
280,O,+1:word.lower():30,0.494864
281,O,word[-3:]:al],0.494332
282,O,word.lower():kualitas,0.493482
283,O,word.lower():sample,0.493108
284,O,word.lower():stock,0.492244
285,O,word.lower():luxury,0.489088
286,O,word.lower():lengkap,0.488455
287,O,word.lower():style,0.486646
288,O,word.lower():usia,0.486545
289,O,word.lower():solid,0.486208
290,O,-1:word.lower():1gb,0.485917
291,O,word.lower():super,0.485742
292,O,word.lower():penyimpanan,0.484724
293,O,word[:3]:Lim,0.482238
294,O,word[-3:]:ase,0.48186
295,O,-1:word.lower():earphone,0.481591
296,O,word[-3:]:For,0.481436
297,O,word.lower():obral,0.481304
298,O,word.lower():dengan,0.479782
299,O,-1:word.lower():all,0.479681
300,O,word[-3:]:amo,0.478568
301,O,word[-3:]:ten,0.478285
302,O,word.lower():international,0.478054
303,O,word.lower():pasang,0.477994
304,O,+1:word.lower():dry,0.476911
305,O,word.lower():repack,0.476253
306,O,-1:word.lower():tipis,0.476235
307,O,-1:word.lower():||,0.475408
308,O,word.lower():multifungsi,0.474951
309,O,+1:word.lower():oilbased,0.474342
310,O,"-1:word.lower():type=""focal",0.47326
311,O,-1:word.lower():silver,0.472476
312,O,word[-3:]:188,0.471947
313,O,word[-3:]:sed,0.47157
314,O,word[:3]:Off,0.470726
315,O,word.lower():zipper,0.470711
316,O,word.lower():19v,0.470703
317,O,word[:3]:BAT,0.47065
318,O,word[:3]:Ata,0.469637
319,O,+1:word.lower():kaos,0.46871
320,O,+1:word.lower():tas,0.468547
321,O,-1:word.lower():inglot,0.467905
322,O,+1:word.lower():o2m,0.467905
323,O,word.lower():halal,0.467905
324,O,word[-3:]:lal,0.467905
325,O,word.lower():hemat,0.467398
326,O,word[:3]:MUL,0.466903
327,O,word.lower():||,0.466665
328,O,word[-3:]:||,0.466665
329,O,word[:3]:||,0.466665
330,O,word[-3:]:lot,0.466509
331,O,word.lower():must,0.466467
332,O,-1:word.lower():(dengan,0.466146
333,O,word.lower():ball,0.465826
334,O,word[:3]:Dat,0.465129
335,O,word[-3:]:ute,0.464965
336,O,word.lower():cute,0.464965
337,O,word[-3:]:sic,0.464426
338,O,word.lower():4g,0.464414
339,O,word[-3:]:4G,0.464414
340,O,word[:3]:4G,0.464414
341,O,+1:word.lower():national,0.463945
342,O,word[-3:]:ors,0.463869
343,O,word[:3]:Pro,0.463657
344,O,-1:word.lower():free,0.463355
345,O,word.lower():hold,0.463154
346,O,-1:word.lower():watch,0.463036
347,O,word[-3:]:to,0.46236
348,O,word[:3]:to,0.46236
349,O,word[-3:]:rai,0.462122
350,O,+1:word.lower():culture,0.461996
351,O,word.lower():rantai,0.461934
352,O,word.lower():100,0.46163
353,O,word.lower():[,0.460804
354,O,word[:3]:[,0.460804
355,O,word[-3:]:[,0.460804
356,O,+1:word.lower():hitam,0.46076
357,O,+1:word.lower():16gb,0.459942
358,O,-1:word.lower():teddies,0.45862
359,O,word[-3:]:TPU,0.458251
360,O,word.lower():[free,0.457939
361,O,-1:word.lower():kualitas,0.457633
362,O,word[-3:]:asa,0.456789
363,O,word.lower():color,0.456749
364,O,-1:word.lower():camera,0.455942
365,O,word.lower():korean,0.455874
366,O,word[:3]:680,0.455631
367,O,word[:3]:Rin,0.455339
368,O,word.lower():ready,0.455137
369,O,word[-3:]:del,0.454451
370,O,word[:3]:tum,0.454437
371,O,word[:3]:Kar,0.454355
372,O,word[:3]:HAR,0.453145
373,O,-1:word.lower():ladies,0.453097
374,O,word[:3]:Ele,0.453074
375,O,-1:word.lower():kulit,0.452467
376,O,word[-3:]:new,0.452313
377,O,word.lower():bonus,0.451945
378,O,word.lower():tahun,0.451052
379,O,word[-3:]:bas,0.449562
380,O,-1:word.lower():gw,0.448831
381,O,+1:word.lower():power,0.448687
382,O,word.lower():sporty,0.448634
383,O,word.lower():terlaris,0.447732
384,O,word.lower():trendy,0.4474
385,O,postag:SYM,0.446964
386,O,word[-3:]:iah,0.446908
387,O,word.lower():modern,0.445926
388,O,-1:word.lower():toys,0.44587
389,O,-1:word.lower():sauce,0.445721
390,O,-1:word.lower():motif,0.445629
391,O,word[-3:]:isi,0.445603
392,O,word.lower():automatic,0.444909
393,O,+1:word.lower():susun,0.44481
394,O,word.lower():beautiful,0.444386
395,O,+1:word.lower():pengukur,0.444369
396,O,+1:word.lower():rosegold,0.444044
397,O,word.lower():watt,0.443066
398,O,word.lower():grosir,0.442602
399,O,word[:3]:Sel,0.442483
400,O,word[-3:]:NSI,0.44231
401,O,+1:word.lower():sepatu,0.442086
402,O,word[:3]:(In,0.441477
403,O,word[-3:]:tra,0.44146
404,O,word[:3]:Gtx,0.440642
405,O,word.lower():led,0.440365
406,O,+1:word.lower():monalisa,0.437933
407,O,word.lower():cantik,0.437882
408,O,-1:word.lower():bonus,0.437722
409,O,-1:word.lower():must,0.437444
410,O,word[-3:]:kle,0.437236
411,O,-1:word.lower():kalung,0.437189
412,O,word[:3]:Pcs,0.436662
413,O,+1:word.lower():biru,0.436448
414,O,-1:word.lower():juice,0.4353
415,O,+1:word.lower():foto,0.43518
416,O,word[:3]:Kua,0.434676
417,O,word[:3]:ear,0.434314
418,O,-1:word.lower():mobil,0.434242
419,O,+1:word.lower():ulang,0.433908
420,O,word[:3]:Fam,0.433221
421,O,word.lower():family,0.433221
422,O,word[-3:]:00W,0.4332
423,O,word.lower():and,0.432824
424,O,+1:word.lower():thin,0.432823
425,O,-1:word.lower():8023,0.432569
426,O,+1:word.lower():sandisk,0.432305
427,O,-1:word.lower():stroller,0.43216
428,O,+1:word.lower():infant,0.43216
429,O,word.lower():fitting,0.432097
430,O,+1:word.lower():denim,0.432054
431,O,-1:word.lower():aqua,0.431162
432,O,word[:3]:Set,0.430739
433,O,word[:3]:Gen,0.429394
434,O,word[-3:]:lam,0.428921
435,O,word[:3]:Bar,0.428896
436,O,-1:word.lower():lucu,0.428815
437,O,-1:word.lower():beautiful,0.428693
438,O,+1:word.lower():silver,0.428164
439,O,word[:3]:Lin,0.427914
440,O,-1:word.lower():tinggi,0.427533
441,O,word[-3:]:ure,0.427405
442,O,+1:postag:CC,0.426973
443,O,+1:word.lower():sekolah,0.425576
444,O,word[:3]:473,0.424895
445,O,+1:word.lower():katun,0.424059
446,O,word[-3:]:8MP,0.423481
447,O,word.lower():wiyadistore,0.423366
448,O,word[:3]:Wiy,0.423366
449,O,+1:word.lower():w-734-9av,0.42317
450,O,-1:word.lower():tf,0.422794
451,O,word[-3:]:kir,0.422786
452,O,word[-3:]:USB,0.422315
453,O,word.lower():cetak,0.421832
454,O,word.lower():multi,0.421501
455,O,+1:word.lower():abu-abu,0.421398
456,O,word[:3]:FAS,0.421388
457,O,word.lower():secure,0.42115
458,O,-1:word.lower():flash,0.420816
459,O,-1:word.lower():met.-ftwr,0.420757
460,O,word[-3:]:smi,0.420598
461,O,word.lower():300mbps,0.420368
462,O,word[-3:]:bps,0.420368
463,O,word[-3:]:20V,0.420186
464,O,word[:3]:str,0.419861
465,O,+1:word.lower():kabel,0.419685
466,O,word[:3]:kan,0.419236
467,O,word[:3]:Ind,0.419182
468,O,-1:word.lower():sedot,0.418352
469,O,word[-3:]:BER,0.418317
470,O,word[-3:]:tau,0.417985
471,O,-1:word.lower():steel,0.417973
472,O,word[:3]:Sus,0.417157
473,O,word[-3:]:ROM,0.416994
474,O,word[:3]:fit,0.416959
475,O,-1:word.lower():kantong,0.416736
476,O,word[-3:]:ket,0.416205
477,O,word[-3:]:ern,0.41586
478,O,-1:word.lower():machine,0.414134
479,O,+1:word.lower():brass,0.413846
480,O,+1:word.lower():900gr,0.413292
481,O,word[:3]:Siz,0.412743
482,O,word.lower():1080p,0.412314
483,O,word[:3]:108,0.412314
484,O,word[:3]:Bes,0.412245
485,O,word[:3]:(De,0.412242
486,O,word.lower():(dengan,0.412242
487,O,+1:word.lower():of,0.411747
488,O,-1:word.lower():kembar,0.411431
489,O,+1:word.lower():multifungsi,0.411275
490,O,word[:3]:Unt,0.41112
491,O,word[-3:]:sus,0.411031
492,O,-1:word.lower():canvas,0.41088
493,O,+1:word.lower():low-cut,0.41088
494,O,+1:word.lower():pie,0.410395
495,O,word.lower():ulang,0.410288
496,O,word[:3]:USB,0.41021
497,O,word.lower():adaptor,0.410207
498,O,word.lower():set,0.408962
499,O,word.lower():|,0.4084
500,O,word[:3]:|,0.4084
501,O,word[-3:]:|,0.4084
502,O,-1:word.lower():blackberry,0.408064
503,O,word[-3:]:ily,0.407907
504,O,word[-3:]:5GB,0.407664
505,O,-1:word.lower():infinix,0.4075
506,O,-1:word.lower():blouse,0.407421
507,O,word[-3:]:-19,0.40718
508,O,word.lower():thin,0.406945
509,O,word.lower():ram,0.406188
510,O,word[:3]:by,0.405601
511,O,word[-3:]:by,0.405601
512,O,-1:word.lower():2gb,0.405232
513,O,word[:3]:~,0.405032
514,O,word.lower():~,0.405032
515,O,word[-3:]:~,0.405032
516,O,-1:word.lower():janger,0.40502
517,O,word.lower():double,0.404823
518,O,-1:word.lower():pijat,0.404344
519,O,+1:word.lower():kaca,0.404161
520,O,word.lower():code,0.403899
