title,link,price_now,location,discount_price,discount_percent,img_link
Leshp 10.1 Inch 16 GB 3G Guad-Core 1366*768 IPS MIPI Antarmuka Tablet,https://www.lazada.co.id/products/leshp-101-inch-16-gb-3g-guad-core-1366768-ips-mipi-antarmuka-tablet-i439647239-s519088846.html?search=1,Rp746.700,Tiongkok,Rp1.114.000,-33%,False
OBRAL CUCI GUDANG Laptop Dell Latitude E5410-9 Core I5 M520 Ram 4GB - Hdd 250 GB - DVDRW - 14 Inch - Windows 7 - Grey,https://www.lazada.co.id/products/obral-cuci-gudang-laptop-dell-latitude-e5410-9-core-i5-m520-ram-4gb-hdd-250-gb-dvdrw-14-inch-windows-7-grey-i544234666-s753962940.html?search=1,Rp2.408.000,Indonesia,Rp3.500.000,-31%,False
DELL Inspiron 11-3185-A9-4GB-500GB-Touch-Win10-Grey Hybrid X360,https://www.lazada.co.id/products/dell-inspiron-11-3185-a9-4gb-500gb-touch-win10-grey-hybrid-x360-i401520310-s442044825.html?search=1,Rp4.185.000,DKI Jakarta,Rp4.999.000,-16%,False
ACER ASPIRE 3 A314-33-C1V8 - A314-33-C3A1 - N4000 4GB 500GB WIN10 LAPTOP MURAH,https://www.lazada.co.id/products/acer-aspire-3-a314-33-c1v8-a314-33-c3a1-n4000-4gb-500gb-win10-laptop-murah-i508130554-s666490601.html?search=1,Rp4.089.000,DKI Jakarta,Rp4.289.000,-5%,False
Teclast Laptop F6 Notebook 4 GB RAM 128 GB SSD 13.3 \ '\' Windows 10 Versi Bahasa Inggris intel Bluetooth HDMI,https://www.lazada.co.id/products/teclast-laptop-f6-notebook-4-gb-ram-128-gb-ssd-133-windows-10-versi-bahasa-inggris-intel-bluetooth-hdmi-i433590891-s507819528.html?search=1,Rp5.441.000,Tiongkok,Rp6.706.000,-19%,False
ASUS VIVOBOOK A412FL - i5-8265U 8GB 512GB SSD MX250 2GB WIN10 14 FHD,https://www.lazada.co.id/products/asus-vivobook-a412fl-i5-8265u-8gb-512gb-ssd-mx250-2gb-win10-14-fhd-i538462821-s742774976.html?search=1,Rp10.995.000,DKI Jakarta,Rp11.495.000,-4%,https://id-test-11.slatic.net/p/65740516f1f814512c2cdd49efabf271.jpg
PROMO Laptop Acer E5-475G-5574 Core i5-7200U RAM 4GB NVIDIA 940MX (FREE ASURANSI),https://www.lazada.co.id/products/promo-laptop-acer-e5-475g-5574-core-i5-7200u-ram-4gb-nvidia-940mx-free-asuransi-i188693497-s230130519.html?search=1,Rp6.873.700,Jawa Timur,Rp8.300.000,-17%,False
"Lenovo IdeaPad 330-15IKB Notebook [ 8GB RAM DDR4  i5-7200U  1TB HDD  NVIDIA GeForce MX110 2GB  DVDRW  15,6 HD LED ] FREE TAS",https://www.lazada.co.id/products/lenovo-ideapad-330-15ikb-notebook-8gb-ram-ddr4-i5-7200u-1tb-hdd-nvidia-geforce-mx110-2gb-dvdrw-156-hd-led-free-tas-i501932953-s637062936.html?search=1,Rp7.618.001,Jawa Timur,Rp7.999.000,-5%,False
HP Stream 14-N4000-4GB-32GB-Win10 Blue,https://www.lazada.co.id/products/hp-stream-14-n4000-4gb-32gb-win10-blue-i464396363-s560660597.html?search=1,Rp3.155.000,DKI Jakarta,Rp3.749.000,-16%,False
HP 15-CX0058WM - I5-8300H RAM 8GB HDD 1TB + Intel Optane Laptop Gaming Murah,https://www.lazada.co.id/products/hp-15-cx0058wm-i5-8300h-ram-8gb-hdd-1tb-intel-optane-laptop-gaming-murah-i514130703-s696926289.html?search=1,Rp11.390.000,Indonesia,,,https://id-test-11.slatic.net/p/6de79d76737c4230be7811c62bd90cef.jpg
