title,link,price_now,location,discount_price,discount_percent,img_link
Giordano Men Denim Jacket Slim Fit Trucker Jacket For Men Enzyme Washed Jackets [Free Shipping] 01077788,https://www.lazada.co.id/products/giordano-men-denim-jacket-slim-fit-trucker-jacket-for-men-enzyme-washed-jackets-free-shipping-01077788-i376866839-s404642857.html?search=1,Rp364.000,Tiongkok,Rp1.071.000,-66%,none
TRAVAIL ROVER FIELD JACKET,https://www.lazada.co.id/products/travail-rover-field-jacket-i525222125-s724286959.html?search=1,Rp420.000,Jawa Barat,,,none
JACKET HOODIE // SWEATER PRIA Dan Wanita MODERN TERBARU & TERMURAH,https://www.lazada.co.id/products/jacket-hoodie-sweater-pria-dan-wanita-modern-terbaru-termurah-i516224746-s705314842.html?search=1,Rp79.200,DKI Jakarta,Rp186.000,-57%,none
Demeis Pria Pullover Berkerudung Hangat Hoodie Kasual Jaket Mantel Switer untuk Pria,https://www.lazada.co.id/products/demeis-pria-pullover-berkerudung-hangat-hoodie-kasual-jaket-mantel-switer-untuk-pria-i512180667-s686394186.html?search=1,Rp119.000,Tiongkok,Rp168.000,-29%,none
Jacket Sweater Hoodie / Jaket Wanita /  Jaket Hoodie / Jaket Wanita / Jaket Pria / Jaket Hoodie Jumper - Pink,https://www.lazada.co.id/products/jacket-sweater-hoodie-jaket-wanita-jaket-hoodie-jaket-wanita-jaket-pria-jaket-hoodie-jumper-pink-i484858181-s599654600.html?search=1,Rp85.000,DKI Jakarta,Rp200.000,-58%,none
JACKET ZIPPER BTS LOVE YOURSELF WORLD TOUR,https://www.lazada.co.id/products/jacket-zipper-bts-love-yourself-world-tour-i451450607-s536060265.html?search=1,Rp129.999,Indonesia,,,none
Big Sale Men/Women Waterproof Windbreaker Jacket Hoodie Casual Sports Outwear Coat,https://www.lazada.co.id/products/big-sale-menwomen-waterproof-windbreaker-jacket-hoodie-casual-sports-outwear-coat-i407665862-s450822188.html?search=1,Rp95.000,Tiongkok,Rp138.000,-31%,none
Vest Jacket Variation Padobran / Rompi / Sleeveles,https://www.lazada.co.id/products/vest-jacket-variation-padobran-rompi-sleeveles-i504886612-s650642968.html?search=1,Rp179.400,Jawa Barat,Rp299.000,-40%,none
Daveriad Jaket Denim Classic Pria,https://www.lazada.co.id/products/daveriad-jaket-denim-classic-pria-i152822903-s600862848.html?search=1,Rp129.900,Jawa Barat,Rp300.000,-57%,none
Promo COD - Jaket Ghost Black Waterproof Tahan Air dan Angin Brand Distro Terbaru Tersedia 2 Warna,https://www.lazada.co.id/products/promo-cod-jaket-ghost-black-waterproof-tahan-air-dan-angin-brand-distro-terbaru-tersedia-2-warna-i502148758-s638002003.html?search=1,Rp180.000,Jawa Barat,Rp360.000,-50%,none
